Customer ID	Name	Date of Birth	Gender	Email	Phone Number	Address	Account Type	Account Number	Balance (USD)	Credit Score	Loan Status	Loan Amount (USD)	Transaction Frequency (per month)	Last Transaction Date
578f2f8b	Joseph Johnson	1989-07-08	Female	ipeterson@gmail.com	001-650-949-7035x233	1420 Smith Meadows Suite 695, New Karen, ND 21663	Fixed Deposit	GB98XQHB25251707969702	8311.12	600	Active	0.0	16	2024-12-30
db8f2923	Shawn Garza	1985-08-12	Female	shelbybrown@hotmail.com	243-302-1584	652 Montes Harbor, Brandyland, ID 60498	Current	GB47YIJB78347246944300	28125.45	596	Active	8598.0	10	2025-01-01
770d928f	Melissa Sanchez	1970-12-29	Male	marydougherty@hotmail.com	001-937-421-7209x057	666 Baxter Cliffs, West Toddtown, WY 86926	Savings	GB68YKCJ00340024270424	7809.29	543	Active	0.0	24	2024-09-12
97ce8c0d	Alyssa Robinson	1991-08-02	Male	deniserodriguez@reyes.com	6991652060	6761 Benjamin Land Apt. 479, Natashaville, TX 23501	Fixed Deposit	GB57TZKW33727885913777	35829.79	605	Active	19835.69	2	2024-04-16
5fe10b42	Adam Moore	1977-04-25	Female	rhondabarnett@yahoo.com	643.606.7690x1948	05382 Robinson Lake, Marcusberg, MI 09823	Savings	GB58PAOB14155054510381	32408.16	806	Closed	0.0	18	2024-07-13
8491e483	Laura Smith	1997-02-13	Male	econtreras@trevino.com	(239)641-3064x52402	PSC 8201, Box 0064, APO AE 32930	Savings	GB46HDVX90601110823100	23691.55	492	Active	14085.57	29	2025-02-03
7f584eb3	Dawn Acosta	1973-07-01	Male	jennifer30@tate.com	(163)119-9812x10491	842 Tara Road, East Tyrone, CA 35489	Current	GB18QGOD00294653892545	43077.43	406	Default	0.0	16	2024-07-10
28431ba3	Nathan Woods	1998-07-31	Female	vstokes@yahoo.com	+1-231-358-5162	46291 Lee Circles, Morrisborough, NJ 55412	Savings	GB95BGXF00063800556945	1822.89	684	Default	1248.5	8	2024-03-26
cc8b5a8d	Melinda Murphy	1955-01-22	Male	barbaraedwards@garcia.com	6997148282	6702 Taylor Place, Lake Stephanie, FL 17603	Savings	GB10DXPC56712455653858	43812.45	827	Default	0.0	11	2024-09-24
8c5aca71	David Taylor	1969-10-29	Male	harriskimberly@thomas.org	(077)330-0845x1371	980 Matthew Lane Suite 704, Davisberg, FL 59217	Savings	GB59GYLZ90445409315482	7994.75	763	Closed	0.0	17	2024-09-21
f9d5f7ef	Brenda Moore	1956-09-17	Female	farrellalexis@hotmail.com	567.054.6145x180	883 Carl Roads, Jonesville, OH 96850	Current	GB75XUXT15512543900624	17521.4	668	Closed	0.0	2	2025-02-04
71ddc123	Zachary Russell	1990-06-13	Male	mfranklin@james.com	336.676.6346x6376	482 Blake Orchard Suite 628, West Robertbury, CT 31809	Fixed Deposit	GB63PHTZ43487516347947	35215.15	439	Default	2189.03	1	2024-05-13
f1fd7fce	Michael Pena	1959-04-30	Male	teresarodriguez@hotmail.com	+1-138-790-5397x54184	0822 Raven Light Apt. 691, Lake Russellton, VT 33767	Savings	GB80EZFG13124087722954	33821.31	825	Closed	0.0	13	2024-10-20
98fd9498	Shannon Good	1983-03-07	Male	epage@carroll-bruce.com	+1-796-918-0663x23753	502 Diaz Forks Suite 391, South Coryview, ME 21077	Savings	GB63VWQW99950587671186	17327.99	578	Closed	0.0	11	2024-04-26
ecbc1d1f	Jennifer Davis	1998-05-27	Female	davidvega@gmail.com	001-724-843-8038x75934	4212 Brown Stream, East Jamesview, PA 15268	Current	GB35GMCB16652255315752	15281.68	356	Active	23088.65	22	2024-04-19
5484300d	Jennifer Green	1992-07-12	Female	gpeterson@hartman.com	934.459.1042	19860 Brian Loop, New Michealberg, MS 29768	Current	GB24VTBR02874269738258	30550.66	810	Active	0.0	6	2025-02-06
e46137f9	Joshua Henry DDS	1971-06-05	Male	medinakristina@gmail.com	+1-261-753-1671x99869	5969 Walter Underpass, Williamsonville, MI 93965	Fixed Deposit	GB65EIGP31552271861015	23168.66	304	Active	0.0	10	2024-04-25
6f18d2aa	Melissa Bailey	1965-12-28	Female	katelyn73@franco-bowen.org	001-102-869-9882x4396	462 Gwendolyn Brooks, Lake Jenniferville, MT 65105	Savings	GB53VQPG49592087091531	15994.14	736	Closed	0.0	11	2024-03-20
5d49fec1	Mrs. Julia Perkins MD	1977-11-06	Male	erica85@gmail.com	(760)886-9718x638	PSC 2920, Box 4978, APO AP 28018	Current	GB16PBNO00576836779691	22596.89	356	Closed	16452.72	12	2024-05-14
3d6dd8f7	Jacqueline White	1950-11-28	Female	meltontonya@roth-butler.org	+1-952-312-3692	780 Megan Creek Suite 536, Lake Jessica, AZ 91996	Savings	GB25AEQI90688129334691	45669.22	635	Default	36991.44	2	2024-04-16
cae275e6	Jeffrey Smith	1995-11-27	Female	johnsontaylor@frazier.biz	(048)338-3009x0447	Unit 0108 Box 3650, DPO AP 13826	Current	GB24OQIO75786321439297	1432.52	671	Closed	6257.32	1	2024-09-14
ce245510	Steve Jones	1945-02-04	Male	donnarandolph@hotmail.com	4631256804	6146 Shaw Island Apt. 909, Lake Nicholaston, MA 75555	Savings	GB04ZORE52152539983795	13432.09	561	Closed	13584.34	26	2024-10-26
8f51c911	Christine Anderson	1983-06-09	Male	lbarnes@carpenter.com	(538)158-6962x5202	43743 Robert Grove, Greentown, AK 80073	Current	GB16OYIS95201920614961	45001.19	513	Closed	0.0	17	2024-05-13
44c9ae5c	Zachary Parrish	1954-09-01	Female	vanessacoleman@gordon.com	+1-586-743-5455x976	621 Padilla Forks, Jasonbury, VA 61090	Fixed Deposit	GB63MYYH04975896801478	3345.7	324	Closed	0.0	8	2024-09-20
54b16478	Cody Franklin	1945-02-07	Female	beth65@gmail.com	329-791-9239	USCGC Kramer, FPO AA 86452	Fixed Deposit	GB85SGQL51495726095142	25152.16	581	Default	0.0	22	2024-12-10
3ff561c1	Brenda Jimenez	1984-05-12	Female	jasonmccoy@hotmail.com	+1-005-114-7292x091	Unit 3681 Box 8354, DPO AP 94776	Savings	GB83REUO06353825770279	23009.17	552	Closed	0.0	8	2024-03-31
acef9ed8	Ashley Holmes	1957-04-22	Female	hallcharles@hotmail.com	597-712-1837	768 Mclean Corner, East Ashley, NY 89947	Fixed Deposit	GB82ZZKS85894668403275	10911.18	827	Active	13824.72	9	2024-11-05
a1051204	Christopher Barnes	1947-08-01	Male	angela27@caldwell.info	+1-474-626-7282x12311	138 Mueller Lodge Apt. 878, East Sandramouth, KS 25739	Savings	GB75ZEXP55709301178561	14635.26	522	Closed	2780.17	20	2024-10-23
790c7c14	Felicia Young	1950-03-16	Male	contrerasalan@murphy.com	507-158-0892x70752	93568 Mcgee Inlet, East Matthewfurt, WY 09393	Fixed Deposit	GB46GDWL35123971962189	33086.02	769	Default	48951.83	22	2024-12-21
f5cd71c4	Lisa Lee	1973-01-10	Female	moralesjoel@jenkins.net	109.387.7464	5163 Murphy Mount, West Karen, ID 50697	Fixed Deposit	GB26HSGQ97936461448353	42057.79	484	Closed	0.0	26	2024-04-08
f18f82d1	James Garcia	1969-02-14	Female	ssmith@gmail.com	001-710-869-7612x321	PSC 3647, Box 6099, APO AE 91396	Savings	GB50PBKA35736750786197	33113.16	639	Closed	0.0	16	2024-06-11
859aa367	Christopher Buckley	1947-04-14	Female	antonio05@hood.com	+1-843-092-2749	840 Dawn Gateway, Lonnieton, FL 54020	Current	GB76BZYL33414539325579	27542.65	772	Closed	34286.44	2	2025-01-18
a802c70c	Teresa Joseph	1994-03-22	Male	bpatterson@allen.com	001-489-829-6257x08986	5253 Jennings Plaza, South Wanda, MS 73315	Current	GB09SSJQ85397463996938	28309.8	315	Default	37752.36	22	2024-07-17
4e750353	Sarah Parker	1955-10-14	Male	jonathan68@yahoo.com	(265)259-3058x55616	8954 Chris Mount, North Coreyberg, CA 83747	Current	GB33IORW56546007731837	3014.35	636	Closed	0.0	22	2024-07-11
de8b34e3	Sandra Williams	1955-03-08	Female	ypeterson@benson.info	800-546-8590	5521 Garcia Field, Lake Sabrina, CA 35047	Savings	GB53GAXZ05803366665338	18997.75	416	Closed	18031.1	16	2024-08-03
52a0ed0c	Candace Henderson	1979-02-18	Female	patty86@henry.com	(454)294-9254x20434	103 Laurie Harbor Suite 341, East Keith, WY 65152	Current	GB04JPVW03581139744104	34157.87	561	Default	0.0	9	2024-12-17
7cd770eb	Robin Barber	1946-02-07	Female	georgelee@stephens-thomas.com	(283)807-8282x24287	3661 Carlos Lights Apt. 076, Kingstad, DE 70907	Current	GB78CZQX47588560924494	42433.08	700	Default	0.0	15	2024-09-19
7627c93a	Chase Richardson	1951-02-12	Female	wwilliamson@harrington.biz	+1-123-923-9545x25956	55007 Anthony Harbors, Port Monicabury, ME 70678	Current	GB26AHXP23067054445741	48266.96	720	Default	0.0	16	2024-10-14
31503769	Marcus Ortiz	1991-10-25	Male	qdavis@hotmail.com	439.344.5489x63902	99778 Jones Mill Apt. 108, New Ryantown, IA 41879	Fixed Deposit	GB46MCXW95013829321786	25144.21	670	Default	3073.57	12	2024-06-14
fd4b81cd	Amy Bridges	1987-08-25	Male	careymatthew@rojas.biz	+1-334-160-5152x24977	0386 Sandoval Ways, East John, WV 23770	Fixed Deposit	GB37RYKK63303084899596	9453.08	804	Default	5084.67	14	2024-09-29
efb6d320	Kendra Robinson	1982-08-25	Male	kevinjohnson@fritz.com	001-283-818-8062x030	603 Rodriguez Port, Travisfurt, LA 07757	Current	GB44JJNG41855117607473	8115.56	498	Default	43734.74	10	2024-02-25
c39f6e65	Nicole Green	1985-03-27	Male	kcampbell@yahoo.com	+1-496-341-6103	305 Sandra Cape Suite 510, West Jonathanland, NH 11249	Fixed Deposit	GB03JRDM80800949387474	40784.02	533	Active	37745.23	29	2024-03-22
b9ee5c65	Mike Mcguire	1956-02-29	Male	petersonautumn@yahoo.com	001-419-514-1857x666	21285 John Stream Apt. 800, Port Michaelville, CT 18414	Savings	GB24KRVF77303155550864	14910.84	506	Default	0.0	12	2024-06-30
3d9d4057	Martha Villanueva	1955-10-10	Female	ddavis@woods.com	436-878-3176x11804	469 Tyler Road Apt. 776, Smithshire, WV 25927	Current	GB76BNBD12868087230867	12064.91	682	Active	44200.62	10	2025-01-13
87ea0423	Tyler Kennedy	1997-09-24	Female	barry96@gmail.com	(946)787-5686x85760	9386 Stephanie Place, South Stephaniefort, TN 32208	Current	GB05CMAD17263393538676	9610.07	642	Active	0.0	8	2024-10-31
25112344	Christine Barnes	1979-08-16	Female	kbrown@kennedy-taylor.info	010-987-7034	91676 Jason Terrace Apt. 043, South Amberhaven, OH 91548	Fixed Deposit	GB28YMPX97111602420678	44650.72	733	Closed	2887.37	20	2024-06-22
ee6a90a6	Lauren Day	1998-11-29	Male	ckelly@burns.com	400-016-0528	USNV Gonzalez, FPO AA 26603	Current	GB75GEKH28907145590318	40932.68	697	Default	0.0	15	2025-01-03
74181ba3	Pamela Ortiz	1945-07-14	Female	lisahoward@hotmail.com	7122481013	USS King, FPO AA 16046	Savings	GB72NVOC90871570585393	45543.41	499	Closed	0.0	10	2024-11-17
513ddfc9	Julie Garcia	1964-09-10	Female	browntricia@gmail.com	(552)725-8282x9121	8383 Sean Brook, South Haleyville, NC 74848	Fixed Deposit	GB08YKXY89586938349964	43375.23	385	Default	25874.43	6	2025-01-18
3c6c58d0	Charles Wright	1980-04-24	Female	brownlaura@yahoo.com	(278)941-0333x9297	03016 Thomas Radial, South Justinland, CT 45880	Current	GB78JIGQ62816721612162	42637.91	541	Active	5098.23	1	2024-06-07
80bfb220	Samuel Shields	1949-03-09	Female	grahamrobin@hotmail.com	001-871-358-4381x4653	02560 Kelsey Lane, Katelynfort, MO 16173	Current	GB24POPZ49502666298406	25553.36	810	Closed	45786.83	29	2024-10-22
ed1737ed	Elizabeth Smith	1994-07-17	Male	jmills@yahoo.com	+1-997-984-8599x5410	USCGC Hill, FPO AA 13309	Savings	GB41AECC23177042667995	43115.4	733	Default	0.0	22	2024-03-19
253837d3	Mary Noble	1949-04-28	Male	kristi66@thompson.org	(164)022-0274x75439	PSC 4791, Box 9191, APO AE 97930	Fixed Deposit	GB87AOVQ59287977882377	41443.7	786	Closed	0.0	21	2024-07-16
b965e879	Lori Morris	1951-06-17	Male	floresantonio@hotmail.com	001-242-584-6730x934	441 Jones Highway Suite 141, Ashleyland, CA 47736	Fixed Deposit	GB32JIOC36921571368345	31256.64	370	Closed	21097.6	17	2024-04-03
9ba0654f	Michael Chen	1983-06-17	Female	grayvictor@anderson.com	795-488-2926	8409 Jeffrey Keys, Crystaltown, MS 87598	Current	GB20HCQW66233272755661	48674.08	781	Default	49135.03	20	2024-05-20
3d15b3d7	Tiffany Chapman	1962-02-01	Male	petersonmichael@hotmail.com	300-473-0803x11507	582 Gabrielle Mountains, Davischester, MD 07792	Savings	GB52ZEBE48802330298965	32313.48	383	Default	0.0	22	2025-01-14
118190dc	Lisa Ross	1993-09-19	Male	pcardenas@smith.com	+1-014-714-2693	3737 Silva Ridge, West Michaelmouth, MD 59760	Current	GB75WWEI84762866626693	8893.54	706	Active	1050.93	17	2024-05-11
00ff1fd2	Kimberly Sanchez	1946-04-11	Female	zbarnes@smith.org	785.704.8553x491	7003 Lozano Drive Suite 151, New Rachel, NY 22182	Fixed Deposit	GB60PAAW15323899407318	30466.62	698	Active	3985.03	3	2024-09-28
2a932230	Kimberly Sullivan	1951-12-24	Female	joseph09@yahoo.com	001-504-715-3998	643 Gamble Viaduct Apt. 604, North Kathyhaven, KY 02474	Savings	GB83LXOY40302998903232	28658.93	313	Closed	0.0	10	2024-12-10
f738d4c4	April Evans	2005-10-15	Female	oochoa@cortez.com	+1-463-929-3629x628	711 Chapman Orchard, North Kyle, PA 39900	Current	GB70FVIQ89826768987337	22290.35	825	Default	0.0	7	2024-04-17
7f92eae1	Derek Liu	1989-04-23	Female	carolstone@hotmail.com	001-192-105-6305x62712	257 Erica Circles Apt. 222, West Ashleytown, CO 52503	Current	GB89QJKV73839979509239	24662.52	720	Default	30046.52	25	2024-09-11
7b727116	Sarah Turner	1947-11-30	Female	vmckinney@yahoo.com	9539973362	5260 Cook Loop, Port Laura, NY 57100	Fixed Deposit	GB60TEUT76084682261615	45919.36	562	Closed	0.0	3	2024-07-19
3a55359e	Richard Kim	1958-05-12	Male	holderjose@williams-alexander.com	+1-029-137-9266x32027	59197 Williams Alley, Smithport, NC 40770	Fixed Deposit	GB86BJTT08753825087939	16495.49	786	Closed	0.0	22	2024-12-25
a99fc61d	Mary Guzman MD	1969-09-07	Female	phillipslauren@hotmail.com	748.603.4707	6650 Nunez Glens, Normanborough, NV 84499	Fixed Deposit	GB95RAWO64835531264342	24764.75	717	Closed	0.0	18	2024-10-11
9b0f993f	Jacqueline Kirby	1994-06-08	Female	hornmelissa@yahoo.com	(481)326-2715x260	40111 Francisco Ranch, Griffinbury, LA 66170	Fixed Deposit	GB80JFNS06635119348583	49944.7	538	Default	17678.62	1	2024-05-20
b2931ac2	Ryan Rogers	1993-11-14	Male	staceyfox@kennedy-walker.com	+1-081-451-7804x04841	PSC 9940, Box 5570, APO AA 97393	Current	GB43IDMO17253271632327	6231.85	620	Closed	25554.96	17	2024-07-22
0ea11997	Gerald Carroll	1993-02-08	Female	daniel28@hotmail.com	186-718-1502x245	Unit 0843 Box 7963, DPO AA 16228	Fixed Deposit	GB33KWIN85830692551966	24923.25	496	Active	0.0	21	2024-12-18
7576bfd8	Nancy Nelson	2005-04-22	Male	jacksonthomas@hines-carr.com	626.122.7906x0612	091 Reynolds Ports, New Darrenview, TN 97303	Savings	GB74TELC46614147211762	15979.06	773	Active	32123.84	13	2025-01-17
f2457d74	Kimberly English	1961-02-21	Male	james92@yahoo.com	001-543-214-6393	USCGC Roberts, FPO AP 22312	Fixed Deposit	GB78PDBM21870444021506	22309.56	837	Closed	37857.17	17	2024-12-28
5dc55bc0	William Howard	2000-06-09	Female	markalexander@conway-sherman.net	001-780-568-6645x7601	06877 Clark Camp Apt. 085, Porterport, MN 47322	Current	GB43AYEX77678164261868	48272.3	415	Active	0.0	20	2024-06-05
e28c3468	Michael Rodriguez	1949-03-26	Female	ewilson@henderson-khan.com	+1-614-732-1708x7824	046 Castro Junctions, Ramoston, ME 06888	Savings	GB62PUJF08499699942700	3832.83	301	Active	0.0	13	2024-09-22
0a4ceb3a	Victoria Jones	1993-03-28	Female	katie72@collins.com	001-296-824-5173	02049 Stevens Ford Apt. 254, West Karen, TN 64343	Fixed Deposit	GB71EOIH11702355293257	40392.39	312	Default	19361.74	26	2024-11-15
662ac814	Kimberly Kelley	1974-07-23	Female	igriffin@robinson.com	951.283.8198	20000 Williams Wells, North Kimberlyborough, UT 99459	Fixed Deposit	GB58ILRX50423981438767	9528.09	773	Active	0.0	9	2025-02-03
3fb6a76d	Kathryn Young	1948-04-26	Female	cabbott@francis-blake.com	445-055-2915x71315	0516 Macias Mission, North Sharonburgh, NC 80275	Fixed Deposit	GB84ZYGM56373117664915	45252.64	728	Default	42419.97	8	2024-07-10
16397729	Amanda Morales	1992-03-31	Male	smithchristopher@gmail.com	606-315-3175	51959 Karen Squares Suite 582, South Emily, MA 38856	Savings	GB91JXDH86896216705264	38125.78	306	Active	0.0	26	2024-05-20
c6caebc8	Lindsay Luna	1969-04-27	Female	orich@gmail.com	585-202-3881x8127	691 Simon Green, North Ryanfort, NY 61925	Fixed Deposit	GB97AEJD21970903366325	20918.39	644	Default	38486.45	21	2024-10-05
9698850a	Courtney Espinoza	1994-03-26	Male	elizabeth57@hotmail.com	874-295-5073x0251	158 Jason Vista Suite 817, Lake Robert, AL 28955	Savings	GB71XSQB98615074424504	40783.46	676	Default	9433.72	2	2024-10-13
7a19edb7	Calvin Maldonado	1972-07-15	Male	ggonzales@james.com	121.236.7508	341 Wagner Fall Suite 318, East Stephanieborough, FL 83717	Current	GB32XZJB74696458339666	13674.08	456	Active	0.0	28	2024-06-11
5a566bfe	Gina Pierce	1974-04-30	Female	gina00@hotmail.com	001-437-007-5458x88024	64289 Morris Circle, West Gloria, KS 56402	Current	GB64FLPA38205630974041	15454.89	322	Closed	4588.88	25	2024-06-19
